DATE,TIME,ZIP_CODE,LOCATION,ON_STREET_NAME,NUMBER_OF_PERSONS_INJURED,NUMBER_OF_PERSONS_KILLED
09/26/2016,17:40,11201,"(40.689933, -73.981473)",FLATBUSH AVENUE EXTENSION,1,0
09/26/2016,14:00,,,WEST STREET,0,0
09/26/2016,14:50,,,WEST 207 STREET,0,0
09/26/2016,14:45,11435,"(40.702531, -73.814033)",,1,0
09/26/2016,17:50,10451,"(40.818691, -73.918569)",COURTLANDT AVENUE,0,0
09/26/2016,15:00,11222,"(40.733032, -73.954727)",HURON STREET,1,0
09/26/2016,16:47,10459,"(40.829014, -73.891875)",,0,0
09/26/2016,11:00,,,WATSON AVENUE,0,0
09/26/2016,9:51,11413,"(40.675814, -73.739546)",MERRICK BOULEVARD,0,0
09/26/2016,18:30,11357,"(40.785851, -73.795084)",WILLETS POINT BOULEVARD,0,0
09/26/2016,15:20,10306,"(40.575815, -74.119785)",RICHMOND ROAD,0,0
09/26/2016,17:45,11418,"(40.698688, -73.838048)",111 STREET,1,0
09/26/2016,13:35,,,WEST 57 STREET,0,10
09/26/2016,19:45,11365,"(40.737444, -73.787247)",,0,0
09/26/2016,20:00,,,WEST 35 STREET,0,0
09/26/2016,11:05,11234,"(40.60981, -73.922498)",FLATBUSH AVENUE,0,0
09/26/2016,19:00,,,SEAVIEW AVENUE,0,0
09/26/2016,22:35,10004,"(40.701302, -74.014574)",,0,0
09/26/2016,17:18,11220,"(40.642306, -74.013231)",55 STREET,0,0
09/26/2016,21:00,11416,"(40.68771, -73.850367)",,1,0
09/26/2016,18:27,10454,"(40.807153, -73.908205)",EAST 142 STREET,0,0
09/26/2016,16:25,11360,"(40.788556, -73.782332)",BELL BOULEVARD,0,0
09/26/2016,17:48,10308,"(40.55733, -74.153012)",GIFFORDS LANE,0,0
09/26/2016,13:02,,,BAINBRIDGE AVENUE,0,0
09/26/2016,7:25,,,LIVONIA AVENUE,1,0
09/26/2016,11:10,11101,"(40.748277, -73.939173)",42 ROAD,0,0
09/26/2016,15:49,11357,"(40.792004, -73.812577)",CLINTONVILLE STREET,1,0
09/26/2016,10:00,11207,"(40.654518, -73.882214)",FLATLANDS AVENUE,0,0
09/26/2016,19:45,,,,1,0
09/26/2016,17:30,,,23 AVENUE,1,0
09/26/2016,16:40,,,GRAND CENTRAL PARKWAY,0,0
09/26/2016,9:00,,,MYRTLE AVENUE,0,0
09/26/2016,15:56,10036,"(40.757907, -73.989298)",WEST 43 STREET,0,0
09/26/2016,12:45,11237,"(40.704286, -73.923654)",,0,0
09/26/2016,19:20,,"(40.666037, -73.759187)",,1,0
09/26/2016,6:00,,,,0,0
09/26/2016,18:00,11429,"(40.713985, -73.738116)",218 STREET,0,0
09/26/2016,11:06,11215,"(40.672603, -73.993378)",2 AVENUE,0,0
09/26/2016,0:00,11040,"(40.750362, -73.703296)",270 STREET,0,0
09/26/2016,20:50,,,NORTHERN BOULEVARD,1,0
09/26/2016,5:00,,"(40.696559, -73.980903)",,0,0
09/26/2016,10:57,11434,"(40.677994, -73.773834)",,0,0
09/26/2016,8:00,,"(40.675052, -73.733212)",,0,0
09/26/2016,17:45,11433,"(40.69017, -73.795908)",110 AVENUE,1,0
09/26/2016,15:55,11423,"(40.708406, -73.767892)",FARMERS BOULEVARD,0,0
09/26/2016,11:30,11204,"(40.612496, -73.979207)",65 STREET,0,0
09/26/2016,8:00,,,HOWARD AVENUE,0,0
09/26/2016,9:01,,,PELHAM PARKWAY SOUTH,0,0
09/26/2016,9:38,10469,"(40.859406, -73.841865)",ASTOR AVENUE,0,0
